Product,Part Prefix,5k Pricing,Class B Safety Library,CPU,FPU,Architecture,CPU Speed Max MHz (megahertz),Program Memory size (KB),RAM KB (kilobyte),Data EEPROM (bytes),Direct Memory Access (DMA) Channels,ADC Channels,ADC Resolution (bits),Number of DACs,DAC Resolution (Bits),USB,Number of USB Modules,Number of Comparators,Motor Control PWM Outputs,Number of Op Amps,Low Power,QSPI,Quadrature Encoder Interface,Crypto Engine,Hardware Touch Peripheral,Type of CAN module,CAN/CAN-FD,Ethernet,Pincount,Packages,Vbat/Vddbu battery backup,Peripheral Pin Select / Pin Muxing,Auxiliary Flash (KB),External Memory Bus Interface,SDIO/SD-CARD/eMMC,Segmented LCD (# of segments),Graphics Controller/GPU
PIC32MX764F128L,PIC32MX,5.39,,32-bit MIPS MCU,No,32,80,128,32,0,4,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,CAN,1,10/100 Base-TX Mac,100,"100\TQFP,121\TFBGA",No,No,12,No,0,0,No
PIC32MX170F512L,PIC32MX,5.39,,32-bit MIPS MCU,No,32,50,512,64,0,4,48,10,0,0,None,0,3,0,0,No,0,0,No,,None,0,None,100,100\TQFP,No,Yes,3,No,0,0,No
PIC32MX440F128H,PIC32MX,5.46,,32-bit MIPS MCU,No,32,80,128,32,0,4,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,None,0,None,64,"64\QFN,64\TQFP",No,No,12,No,0,0,No
PIC32MX340F512H,PIC32MX,5.51,,32-bit MIPS MCU,No,32,80,512,32,0,4,16,10,0,0,None,0,2,0,0,No,0,0,No,,None,0,None,64,"64\QFN,64\TQFP",No,No,12,No,0,0,No
PIC32MX450F256L,PIC32MX,5.52,,32-bit MIPS MCU,No,32,120,256,64,0,4,28,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,None,None,0,None,100,100\TQFP,No,Yes,12,No,0,0,No
PIC32MX270F512L,PIC32MX,5.58,,32-bit MIPS MCU,No,32,50,512,64,0,6,48,10,0,0,FS Device/Host/OTG,1,3,0,0,No,0,0,No,,None,0,None,100,100\TQFP,No,Yes,3,No,0,0,No
PIC32MX440F256H,PIC32MX,5.61,,32-bit MIPS MCU,No,32,80,256,32,0,4,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,None,0,None,64,"64\QFN,64\TQFP",No,No,12,No,0,0,No
PIC32MX320F128L,PIC32MX,5.72,,32-bit MIPS MCU,No,32,80,128,16,0,0,16,10,0,0,None,0,2,0,0,No,0,0,No,,None,0,None,100,"100\TQFP,121\TFBGA",No,No,12,No,0,0,No
PIC32MX340F128L,PIC32MX,5.72,,32-bit MIPS MCU,No,32,80,128,32,0,4,16,10,0,0,None,0,2,0,0,No,0,0,No,,None,0,None,100,"100\TQFP,121\TFBGA",No,No,12,No,0,0,No
PIC32MX570F512L,PIC32MX,5.75,,32-bit MIPS MCU,No,32,50,512,64,0,8,48,10,0,0,FS Device/Host/OTG,1,3,0,0,No,0,0,No,,CAN,1,None,100,100\TQFP,No,Yes,3,No,0,0,No
PIC32MX440F512H,PIC32MX,5.81,,32-bit MIPS MCU,No,32,80,512,32,0,4,16,10,0,0,FS Device/Host/OTG,1,2,0,0,No,0,0,No,,None,0,None,64,"64\QFN,64\TQFP",No,No,12,No,0,0,No
